video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:14,913 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=574 detections=5
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:15,000 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=575 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:15,089 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=576 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:15,172 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=577 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:15,264 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=578 detections=1
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:15,347 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=579 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:15,427 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=580 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:15,510 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=581 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:15,639 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=582 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:15,720 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=583 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:15,805 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=584 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:15,887 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=585 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:15,968 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=586 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:16,048 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=587 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:16,132 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=588 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:16,214 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=589 detections=5
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:16,301 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=590 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:16,391 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=591 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:16,590 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=592 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:16,697 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=593 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:16,801 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=594 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:16,889 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=595 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:16,967 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=584 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:17,046 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=585 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:17,140 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=586 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:17,222 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=587 detections=4
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:17,302 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=588 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:17,381 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=589 detections=5
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:17,464 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=590 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:17,544 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=591 detections=0
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:17,625 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=592 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:17,729 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=593 detections=2
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:17,827 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=594 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:17,916 INFO frame-consumer Published detections video_uuid=91158235-3d64-4582-b8d8-c1f68ca01f81 sampled_frame_id=595 detections=3
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 13:24:18,048 INFO frame-consumer Published detections video_uuid=d89608b9-9fec-4b89-8ee5-73ac779a84f8 sampled_frame_id=596 detections=3
